學年度,學期,設立別,學校類型,學校代碼,學校名稱,系所代碼,系所名稱,學制,對方國別,對方學校名稱,對方學校英文名稱,總計,男生,女生
103,2,公立,一般大學,1,國立政治大學,380101,法律學系,碩士班(日間),日本,早稻田大學,WASEDA UNIVERSITY,2,0,2
103,2,公立,一般大學,1,國立政治大學,380101,法律學系,碩士班(日間),日本,國立金澤大學,KANAZAWA UNIVERSITY,1,0,1
103,2,公立,一般大學,1,國立政治大學,310801,公共行政學系,碩士班(日間),日本,立命館大學,RITSUMEIKAN UNIVERSITY,1,1,0
103,2,公立,一般大學,1,國立政治大學,380101,法律學系,碩士班(日間),日本,神戶大學,KOBE UNIVERSITY,1,0,1
103,2,公立,一般大學,1,國立政治大學,340505,金融學系,碩士班(日間),德國,科隆大學管理經濟社會科學院,"University of Cologne Faculty of Management, Economics and Social Sciences",1,0,1
103,2,公立,一般大學,1,國立政治大學,340505,金融學系,碩士班(日間),丹麥,哥本哈根管理學院,Copenhagen Business School,1,1,0
103,2,公立,一般大學,1,國立政治大學,380101,法律學系,碩士班(日間),中國大陸,復旦大學,Fudan University,1,0,1
103,2,公立,一般大學,1,國立政治大學,349984,科技管理與智慧財產研究所,碩士班(日間),日本,名古屋商科大學,Nagoya University of Commerce and Business,1,1,0
103,2,公立,一般大學,1,國立政治大學,349984,科技管理與智慧財產研究所,碩士班(日間),芬蘭,阿爾托大學大學商學院,Aalto University School of Business,1,0,1
103,2,公立,一般大學,1,國立政治大學,349984,科技管理與智慧財產研究所,碩士班(日間),挪威,挪威經濟管理學院,Norwegian School of Economics and Business Administration,1,0,1
103,2,公立,一般大學,1,國立政治大學,349984,科技管理與智慧財產研究所,碩士班(日間),中國大陸,清華大學,Tsinghua University,1,0,1
103,2,公立,一般大學,1,國立政治大學,310709,俄羅斯研究所,碩士班(日間),俄羅斯,莫斯科大學,Moscow State University,1,1,0
103,2,公立,一般大學,1,國立政治大學,340601,風險管理與保險學系,碩士班(日間),法國,斯凱瑪高等商業管理學院,SKEMA Business School,1,0,1
103,2,公立,一般大學,1,國立政治大學,220307,英國語文學系,碩士班(日間),英國,劍橋大學,UNIVERSITY OF CAMBRIDGE,1,0,1
103,2,公立,一般大學,1,國立政治大學,340504,財務管理學系,碩士班(日間),挪威,挪威管理學院,BI Norwegian School of Management,1,1,0
103,2,公立,一般大學,1,國立政治大學,340701,財政學系,碩士班(日間),泰國,曼谷大學,BANGKOK UNIVERSITY,1,0,1
103,2,公立,一般大學,1,國立政治大學,220201,中國文學系,碩士班(日間),中國大陸,復旦大學,Fudan University,1,0,1
103,2,公立,一般大學,1,國立政治大學,220201,中國文學系,碩士班(日間),德國,維爾茨堡大學,UNIVERSITY OF WUERZBURG,1,0,1
103,2,私立,一般大學,1049,開南大學,380101,法律學系,碩士班(日間),日本,富山大學,Toyama University,2,1,1
103,2,私立,一般大學,1049,開南大學,349946,創新與專案管理研究所,碩士班(日間),美國,麻省理工學院,Massachusetts Institute of Technology,1,0,1
103,2,私立,一般大學,1049,開南大學,340307,國際企業學系,碩士班(日間),日本,富山大學,University of Toyama,1,0,1
103,2,私立,一般大學,1049,開南大學,340307,國際企業學系,碩士班(日間),日本,多摩大學,Tama Unversity,1,1,0
103,2,私立,一般大學,1049,開南大學,340307,國際企業學系,碩士班(日間),日本,京都學園大學,Kyoto Gakuen University,1,0,1
103,2,私立,一般大學,1049,開南大學,840108,物流與航運管理學系,碩士班(日間),南韓,仁荷大學,Inha University,1,1,0
103,2,私立,一般大學,1033,長榮大學,220321,應用日語學系,碩士班(日間),日本,日本文理大學,Nippon Bunri University,2,0,2
103,2,私立,一般大學,1048,亞洲大學,340501,財務金融學系,碩士班(日間),馬來西亞,馬來亞大學,University of Malaya,2,1,1
103,2,私立,一般大學,1048,亞洲大學,320105,資訊傳播學系,碩士班(日間),西班牙,巴塞隆納自治大學,Universitat Aut?noma de Barcelona,1,0,1
103,2,私立,一般大學,1028,臺北醫學大學,720301,藥學系,碩士班(日間),美國,伊利諾伊大學芝加哥分校,University of Illinois at Chicago,3,0,3
103,2,私立,一般大學,1035,中國醫藥大學,340901,醫務管理學系,碩士班(日間),美國,密西根大學,University of Michigan,2,1,1
103,2,公立,一般大學,1,國立政治大學,140203,華語文教學碩士學位學程,碩士班(日間),荷蘭,萊登大學,LEIDEN UNIVERSITY,1,0,1
103,2,公立,一般大學,1,國立政治大學,311003,勞工研究所,碩士班(日間),中國大陸,北京大學,Peking University,1,0,1
103,2,公立,一般大學,1,國立政治大學,340201,會計學系,碩士班(日間),瑞典,烏普薩拉大學,UPPSALA UNIVERSITY,1,0,1
103,2,公立,一般大學,1,國立政治大學,340201,會計學系,碩士班(日間),法國,巴黎高等商業學院,ESCP Europe,1,0,1
103,2,公立,一般大學,1,國立政治大學,340201,會計學系,碩士班(日間),德國,布萊梅大學,UNIVERSITY OF BREMEN,1,1,0
103,2,公立,一般大學,1,國立政治大學,340408,國際經營與貿易學系,碩士班(日間),德國,德國商學院,European Business School,1,0,1
103,2,公立,一般大學,1,國立政治大學,340408,國際經營與貿易學系,碩士班(日間),荷蘭,鹿特丹管理學院,Rotterdam School of Management,1,0,1
103,2,公立,一般大學,1,國立政治大學,340408,國際經營與貿易學系,碩士班(日間),中國大陸,上海交通大學,Shanghai Jiao Tong University,1,0,1
103,2,公立,一般大學,1,國立政治大學,340408,國際經營與貿易學系,碩士班(日間),法國,北方高等商業學院,EDHEC Business School,1,0,1
103,2,公立,一般大學,1,國立政治大學,340504,財務管理學系,碩士班(日間),義大利,博科尼大學管理學院,Bocconi University,1,1,0
103,2,公立,一般大學,1,國立政治大學,340505,金融學系,碩士班(日間),德國,萊比錫管理學院,Leipzig Graduate School of Management,1,0,1
103,2,公立,一般大學,1,國立政治大學,311002,國家發展研究所,碩士班(日間),中國大陸,中國人民大學,Renmin University of China,1,1,0
103,2,公立,一般大學,1,國立政治大學,311002,國家發展研究所,碩士班(日間),中國大陸,清華大學,Tsinghua University,1,0,1
103,2,公立,一般大學,1,國立政治大學,340310,國際經營管理英語碩士學位學程,碩士班(日間),西班牙,IE商學院,IE Business School,1,0,1
103,2,公立,一般大學,1,國立政治大學,340310,國際經營管理英語碩士學位學程,碩士班(日間),泰國,朱拉隆功大學Sasin管理學院,Chulalongkorn University Sasin Graduate Institute of Business Administration,1,1,0
103,2,公立,一般大學,1,國立政治大學,340310,國際經營管理英語碩士學位學程,碩士班(日間),香港,香港中文大學管理學院,Chinese University of Hong Kong Faculty of Business Administration,1,1,0
103,2,公立,一般大學,1,國立政治大學,340310,國際經營管理英語碩士學位學程,碩士班(日間),中國大陸,清華大學經濟管理學院,"Tsinghua University, School of Economics and Management",1,1,0
103,2,公立,一般大學,1,國立政治大學,340310,國際經營管理英語碩士學位學程,碩士班(日間),新加坡,新加坡國立大學,National University of Singapore Business School,1,1,0
103,2,公立,一般大學,1,國立政治大學,220324,韓國語文學系,碩士班(日間),南韓,成均館大學,SUNGKYUNKWAN UNIVERSITY,2,0,2
103,2,公立,一般大學,1,國立政治大學,480109,資訊管理學系,碩士班(日間),南韓,韓國高等科技管理學院,KAIST Business School,1,0,1
103,2,公立,一般大學,1,國立政治大學,320603,圖書資訊與檔案學研究所,碩士班(日間),波蘭,華沙大學,UNIVERSITY OF WARSAW,1,1,0
103,2,公立,一般大學,1,國立政治大學,520116,資訊科學系,碩士班(日間),中國大陸,北京大學,Peking University,1,1,0
